Hole,Run0,,Run1,,Run2,,Run3,,Run4,
,mean peak,timing,mean peak,timing,mean peak,timing,mean peak,timing,mean peak,timing
1_1,1143,,0,,1132.1,,1271.4,,1407.9,
1_2,1153,,0,,1116.6,,1248.7,,1410.1,
2_1,1202,,1270.9,,1170.3,,1295.2,,1463.8,
2_2,1175,,1206.7,,1152.4,,1267.3,,1446.5,
3_1,1147,,1176.7,,1194.7,,1187.6,,1358.2,
3_2,1160,,1194.7,,1257.5,,1238.2,,1383.1,
Bottom 1_1,1209,,0,,1358,,1312.8,,1464.3,
Bottom 1_2,1241,,0,,1382,,1330.8,,1476,
Bottom 2_1,1249,,0,,1378,,1344.7,,1489.1,
Bottom 2_2,1240,,0,,1224,,1325.2,,1463.9,
Bottom 3_1,1217,,1327.5,,1280,,1346.6,,1483.4,
Bottom 3_2,1192,,,,1300,,1317.5,,1462.1,
