Run 0,,,,,,,Run 1,,,,,,,Run 2,,,,,,,Run 3,,,,,,,Run 4,,,,,
Irradiated,,,Reference,,,,Irradiated,,,Reference,,,,Irradiated,,,Reference,,,,Irradiated,,,Reference,,,,Irradiated,,,Reference,,
Voltage (kV),Filtered Average (pA),Timing,Voltage,Filtered Average,Timing,,Voltage (kV),Filtered Average (pA),Timing,Voltage,Filtered Average,Timing,,Voltage (kV),Filtered Average (pA),Timing,Voltage,Filtered Average,Timing,,Voltage (kV),Filtered Average (pA),Timing,Voltage,Filtered Average,Timing,,Voltage (kV),Filtered Average (pA),Timing,Voltage,Filtered Average,Timing
0.5,17.02,9/15/17 13:46,0.5,0.8,17:48,,2,1.51,12/14/17 15:13,0,0.02,14/12/17 9:30:10,,2,-1.86,3/15/18 16:30,2,8.74,3/15/18 12:09,,2,2.9,5/10/18 15:41,2,4.52,5/10/18 11:29,,,,,,,
1,35.89,9/15/17 14:12,1,1.4,18:02,,3,3.65,12/14/17 15:22,2,4.8,14/12/17 10:36:39,,3,0.7,3/15/18 16:23,3,12.3,3/15/18 12:01,,3,12.9,5/10/18 15:51,3,9.99,5/10/18 11:53,,,,,,,
1.5,55.9,9/15/17 14:23,1.5,2.6,18:18,,3.6,124.54,12/14/17 15:47,3,8.7,14/12/17 10:53:28,,3.3,5.1,3/15/18 16:16,3.6,29.8,3/15/18 11:52,,3.3,161.3,5/10/18 16:32,3.6,29.94,5/10/18 12:04,,,,,,,
2,96.4,9/15/17 15:46,2,5.7,18:31,,4,308.23,12/14/17 16:05,3.3,11.77,14/12/17 10:59:22,,3.5,15.17,3/15/18 16:10,4,174,3/15/18 11:44,,3.5,186.4,5/10/18 16:45,4,138.33,5/10/18 12:30,,,,,,,
2.5,145.73,9/15/17 16:04,2.5,14.1,18:43,,,,,3.5,18.58,14/12/17 11:06:18,,3.6,23.48,3/15/18 16:02,,,,,3.6,190.7,5/10/18 16:53,,,,,,,,,,
3,217.19,9/15/17 16:10,3,40.9,18:50,,,,,3.6,21.83,14/12/17 11:13:05,,3.7,35.81,3/15/18 15:53,,,,,3.7,177,5/10/18 17:14,,,,,,,,,,
3.3,297.69,9/15/17 16:16,3.3,78.4,18:59,,,,,3.7,33.74,14/12/17 11:19:37,,3.8,64.47,3/15/18 15:46,,,,,3.8,223.4,5/10/18 17:18,,,,,,,,,,
3.6,388.71,9/15/17 16:30,3.6,136,19:04,,,,,3.8,53.52,14/12/17 11:26:09,,4,197.41,3/15/18 15:37,,,,,4,425.3,5/10/18 17:26,,,,,,,,,,
3.8,464.29,9/15/17 16:57,3.8,194,19:13,,,,,4,128.07,14/12/17 11:32:55,,,,,,,,,,,,,,,,,,,,,
4,607.04,9/15/17 17:10,3.9,264,19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,410,19:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
