Voltage,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
0.05,0.88,0.69,0.91,1.34,0.81,0,0,0,0,0,0
0.2,0.96,0.87,0.95,1.16,1,0,0,0,0,0,0
0.3,0.99,0.95,1,0.97,1.02,0,0,0,0,0,0
0.4,1.01,1.06,1.03,1,1.02,0,0,0,0,0,0
0.5,1.04,1.12,1.02,0.86,0.97,0,0,0,0,0,0
1,1.5,2.03,1.68,1.6,1.16,0,0,0,0,0,0
2,30.01,30.16,25.43,45.02,36.05,0,0,0,0,0,0
3,3452.06,3221.12,2840.12,4920.42,4467.92,0,0,0,0,0,0
3.3,17083.94,15826.73,14047.2,23994.26,22008.2,0,0,0,0,0,0
3.5,49459,45577.75,40448.38,68677.27,63341.22,0,0,0,0,0,0
3.6,82403.42,75534.31,67093.22,113774.44,105142.7,0,0,0,0,0,0
3.7,133878.58,121682.56,108097.81,183170.6,169635.91,0,0,0,0,0,0
