Hole,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak,mean peak
None,,,,,,,,,,,
Irr Btm (1_1),1209,1195.7,1182.4,1312.8,1464.3,1274.8,,,,,
Irr Btm (1_2),1241,1219,1197,1330.8,1476,1298.4,,,,,
Irr Btm (2_1),1249,1226,1203,1344.7,1489.1,1304.1,,,,,
Irr Btm (2_2),1240,1218.2,1196.4,1325.2,1463.9,1285.4,,,,,
Irr Btm (3_1),1217,1213.55,1210.1,1346.6,1483.4,1312.4,,,,,
Irr Btm (3_2),1192,1193,1194,1317.5,1462.1,1287.4,,,,,
Ref Top (1_1),1143,1189.95,1236.9,1271.4,1407.9,1253.4,,,,,
Ref Top (1_2),1153,1184,1215,1248.7,1410.1,1242.8,,,,,
Ref Top (2_1),1202,1217.6,1233.2,1295.2,1463.8,1296.6,,,,,
Ref Top (2_2),1175,1194.9,1214.8,1267.3,1446.5,1280.6,,,,,
Ref Top (3_1),1147,1186.7,1226.4,1187.6,1358.2,1207.9,,,,,
Ref Top (3_2),1160,1177.15,1194.3,1238.2,1383.1,1222.6,,,,,
