No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,IRR weighted,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.055172414,0,0.070824859,0,0,0,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.05750469,0,0,0,0,0,0.081202922,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.05750469,0,0,0,0.141649718,0,0,0,0,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.05750469,0,0.055172414,0.113519952,0.141649718,0.0838611,0.081202922,0,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.287523452,0.103851641,0.165517241,0.283799881,0.56659887,0.670888797,0.812029217,0,0,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.402532833,0.623109843,0.551724138,0.340559857,0.991548023,0.335444399,0.649623374,0,0,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.092589118,0.623109843,0.993103448,0.567599762,1.204022599,1.174055395,1.542855512,0,0,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.32260788,0.778887304,0.937931034,1.418999404,2.408045198,1.509499793,1.948870121,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.840150094,1.142368046,1.048275862,1.759559261,3.116293785,2.431971889,2.111275964,0,0,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.552626642,1.557774608,1.931034483,2.497438952,2.903819209,3.941471683,4.060146085,0,0,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,2.185178236,2.440513552,2.537931034,2.781238833,5.382689266,4.025332782,5.359392833,0,0,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.542870544,3.686733238,3.420689655,3.802918404,4.957740113,6.625026871,4.709769459,0,0,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.945403377,3.686733238,4.524137931,5.221917808,9.13640678,8.218387764,6.983451267,0,0,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,5.29043152,4.205991441,5.406896552,6.697677189,9.844655367,11.82441505,9.094727231,0,0,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,7.073076923,6.334950071,6.896551724,8.003156641,11.04867797,14.50797024,12.74885871,0,0,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,8.395684803,6.958059914,9.324137931,9.195116141,13.95249718,17.86241422,14.37291714,0,0,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,8.913227017,7.788873039,9.268965517,10.61411554,16.28971751,25.91307979,18.75787491,0,0,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,8.740712946,9.346647646,8.165517241,10.10327576,18.91023729,30.77702356,21.6811801,0,0,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,10.06332083,8.463908702,11.25517241,11.23847528,22.73477966,47.54924349,28.09621091,0,0,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,11.90347092,9.087018545,9.820689655,11.74931507,28.89654237,71.11421248,37.0285323,0,0,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,13.85863039,9.813980029,10.59310345,13.50887433,34.84583051,127.2172881,52.78189911,0,0,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,14.08864916,9.710128388,10.86896552,14.47379392,50.49812429,194.0545845,75.43751427,0,0,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,22.54183865,9.762054208,13.02068966,14.64407385,62.39670056,267.8523522,110.7607852,0,0,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,22.71435272,9.035092725,13.62758621,17.65235259,83.64415819,414.10611,155.5035951,0,0,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,27.88977486,14.95463623,15.11724138,23.78243002,123.0227797,425.2596362,200.9772312,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background Subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irr Btm 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
