Run 0,,,,,Run 1,,,,,Run 2,,,,,Run 3,,,,,Run 4,,,,,Run 5,,,,,Run 6,,,,,Run 7,,,,,Run 8,,,,,Run 9,,,,,Run 10,,,
Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,,,Irradiated,,Reference,
Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average,,Voltage (kV),Filtered Average (pA),Voltage,Filtered Average
2,26.34,2,2.19,,2,60.7,2,19.1,,2,65.3,2,107.2,,2,78.4,2,12.51,,2,114,2,29.5,,2,141.3,2,6.49,,2,51.4,2,6.143,,2,83.7,2,4.63,,2,0,2,0,,2,0,2,0,,2,0,2,0
3,42.2,3,19.2,,3,202.8,3,83.7,,3,253.1,3,213,,3,298.6,3,81.9,,3,237,3,100,,3,255.3,3,33.3,,3,100.7,3,26.1,,3,199.8,3,26.6,,3,0,3,0,,3,0,3,0,,3,0,3,0
3.3,48.9,3.6,75.3,,3.3,310.4,3.6,156.4,,3.3,444.1,3.6,384.4,,3.3,497.3,3.6,200.9,,3.3,336,3.6,210,,3.3,317.9,3.6,83.5,,3.3,136.4,3.6,61,,3.3,271.5,3.6,66.5,,3.3,0,3.6,0,,3.3,0,3.6,0,,3.3,0,3.6,0
3.5,56.19,4,265.7,,3.5,476.5,4,388.3,,3.5,674.6,4,767.8,,3.5,705.5,4,521.3,,3.5,424,4,544,,3.5,419.9,4,256.7,,3.5,166.4,4,197.3,,3.5,344.9,4,225.4,,3.5,0,4,0,,3.5,0,4,0,,3.5,0,4,0
3.6,62.48,,,,3.6,520.8,,,,3.6,809.2,,,,3.6,863.3,,,,3.6,488,,,,3.6,467.2,,,,3.6,187,,,,3.6,396,,,,3.6,0,,,,3.6,0,,,,3.6,0,,
3.7,73.54,,,,3.7,565.1,,,,3.7,997.1,,,,3.7,1038,,,,3.7,552,,,,3.7,515.8,,,,3.7,213.3,,,,3.7,464.2,,,,3.7,0,,,,3.7,0,,,,3.7,0,,
3.8,88.96,,,,3.8,658.8,,,,3.8,1201.5,,,,3.8,1276.9,,,,3.8,620,,,,3.8,575.2,,,,3.8,241.4,,,,3.8,546,,,,3.8,0,,,,3.8,0,,,,3.8,0,,
4,168.42,,,,4,958.07,,,,4,1802.65,,,,4,1909.95,,,,4,869,,,,4,759.31,,,,4,336.6,,,,4,829,,,,4,0,,,,4,0,,,,4,0,,
