No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0.529552239,0,0,0.079897219,0,0.031567797,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0.714895522,0,0,0,0.021436404,0.031567797,0,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.031014975,0.211820896,0.026555009,0,0,0,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.31014975,0.767850746,0,0,0,0.021436404,0,0.030529721,0.076309795,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.031014975,0.476597015,0.026555009,0.026555009,0.079897219,0,0.09470339,0.061059442,0.076309795,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.217104825,0.979671642,0.185885064,0.132775046,0.106529625,0.150054825,0.063135593,0.549534978,0.190774487,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.3721797,0.68841791,0.2921051,0.212440073,0.479383313,0.257236842,0.126271186,0.213708047,0.572323462,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.085524126,1.138537313,0.371770128,0.477990164,0.612545345,0.300109649,0.220974576,0.396886373,0.496013667,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.147554077,1.323880597,0.451435155,0.637320219,0.585912938,0.471600877,0.284110169,0.61059442,0.496013667,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1.705823627,1.853432836,0.61076521,1.141865392,0.93213422,0.36441886,0.789194915,0.793772746,0.91571754,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,2.078003328,3.018447761,0.823205283,1.274640437,1.571311971,0.707401316,1.231144068,1.618075212,1.06833713,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.00093178,2.912537313,1.726075592,1.858850638,1.917533253,1.071820175,1.452118644,2.014961585,1.869589977,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,3.256572379,3.733343284,1.965070674,2.974161021,3.115991536,1.479111842,1.894067797,2.381318237,2.365603645,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,3.50469218,5.242567164,2.363395811,3.717701276,2.476813785,1.886403509,2.430720339,2.533966842,2.976082005,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.218036606,6.857701493,3.61148124,4.912676686,3.009461911,2.358004386,3.030508475,4.152042054,3.128701595,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.962396007,6.937134328,4.859566668,5.417221859,5.006892382,2.508059211,5.113983051,4.090982612,5.074601367,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,5.923860233,8.128626866,5.151671768,7.116742443,7.696765417,3.601315789,3.504025424,5.831176708,5.112756264,0,0
