No source,,ALCT,,,,,,CLCT,,,,,,LCT,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,,run0,run1 ,run2,run3,run4,,run0,run1,run2,run3,run4
0,,0,9,0,0.2,0,,0,18.9,0.5,0,0.6,,0,2,0,0,0
2.4,,0.3,9,0.2,0.2,0.1,,0,41.2,2.9,0,1.7,,0,2.7,0,0,0.1
2.5,,1,6.4,0.4,0.4,0,,0.1,16.1,3.6,0,0.9,,0.1,0.8,0.1,0,0
2.6,,2.1,10.8,0,0.1,0.3,,0.2,47,2.9,0,2.3,,1,2.9,0,0,0.2
2.7,,2.8,7.2,0.1,0.2,0.2,,0.3,10.1,3.3,0.1,6.6,,0.1,1.8,0.1,0.1,0.2
2.8,,4.1,10.8,1.4,1.4,1.5,,1.1,32.9,3.5,0.5,2.4,,0.7,3.7,0.7,0.5,0.8
2.85,,4.6,8.2,1.2,3.1,3.2,,1.5,12.6,3.6,0.8,2.1,,1.2,2.6,1.1,0.8,1.4
2.9,,6.5,14.2,2,4.8,2.8,,4.1,30.6,5.3,1.8,4.9,,3.5,4.3,1.4,1.8,1.7
2.95,,8.5,14.5,2.8,7.8,6.1,,4.6,24.3,5.1,2.4,7.9,,3.7,5,1.7,2.4,3.4
3,,9.5,18.2,2.8,14,8.3,,7.1,19.8,4.6,4.3,6,,5.5,7,2.3,4.3,4.4
3.05,,13.7,27.6,4.7,17,10.4,,7.7,35.9,7.1,4.8,8.6,,6.7,11.4,3.1,4.8,4.1
3.1,,19.2,31.3,9,23.6,12.8,,14.5,24.7,9.1,7,12.4,,12.9,11,6.5,7,7.6
3.15,,17.6,37.6,12.3,30.6,13.1,,11.1,28,8.6,11.2,9.2,,10.5,14.1,7.4,11.2,7
3.2,,19.2,50.2,16.5,36.7,20.6,,12.6,55.3,12,14,18.7,,11.3,19.8,8.9,14,12.9
3.25,,23.1,66.3,27,44.9,21.8,,14.4,44.4,18.8,18.5,16.4,,13.6,25.9,13.6,18.5,13.9
3.3,,25.2,72.6,38.3,51.2,24.3,,17.5,61.8,21,20.4,22.5,,16,26.2,18.3,20.4,15.6
3.35,,28.4,71.1,44.9,65.4,32,,19.9,53.2,23.4,26.8,25.3,,19.1,30.7,19.4,26.8,19.7
3.4,,28.5,91.2,50.6,72.8,39.6,,19.3,58.3,27.7,30.5,26.2,,17.4,37.3,24.7,30.5,23
3.45,,36.1,103.5,77.8,75.6,45.6,,23.6,80.3,39.4,35.5,31.9,,21,45.1,34.5,35.5,26.7
3.5,,44.3,103.2,96.7,73.1,58.2,,27.3,68.7,47.3,37.8,38.7,,24.2,43.9,44.3,37.8,32.1
3.55,,58.6,144.1,114.7,104,72.5,,33.2,116.1,59.7,45.9,46.3,,31.6,65.7,54.7,45.9,40.8
3.6,,63.7,174.3,149.3,122.4,91,,37.6,125.2,79.8,54.9,57.6,,35,86.9,70.5,54.9,49.2
3.65,,77.4,234.2,191.3,146.9,129.1,,46.4,175,98.8,68.8,78.3,,43.1,123.4,90.2,68.8,71.3
3.7,,89.7,278.6,228.6,170.9,160.1,,56.4,210.5,125.8,75.3,98.7,,51.7,157.1,110.4,75.3,88.1
3.75,,103.4,339.6,330.8,235.6,195.3,,71.9,251.9,166.3,99.9,134.3,,64,199.8,148.2,99.9,118.1
3.8,,116,390.9,423.5,239.4,269.1,,77.9,298.7,219.8,119.7,201.6,,74,222.5,198.5,119.7,173.7
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Top 2_2,,ALCT,,,,,,CLCT,,,,,,LCT,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,,run0,run1 ,run2,run3,run4,,run0,run1,run2,run3,run4
0,,0,0,0.1,-0.2,0,,0,11.2,3.3,0.2,1.2,,0,0,0,0,0
2.4,,-0.2,-2.7,-0.1,0,-0.1,,0.1,-20,-0.1,4.4,-1.1,,0.1,-2,0,0,-0.1
2.5,,-1,0.5,-0.4,-0.2,0,,-0.1,-3.9,-2,4.9,1.1,,-0.1,0.2,-0.1,0,0
2.6,,-2.1,-3.9,0,-0.1,-0.3,,-0.2,-25.3,-1.5,0.1,3.6,,-1,-1,0,0,-0.2
2.7,,-1.6,1.5,0.9,0.4,2.2,,2.1,8.5,1.8,1.8,-3.9,,0.5,-0.2,0,0.2,1.3
2.8,,6.3,4.8,6.1,4.4,7.6,,17.1,7.9,12.9,13,13,,8,4.8,5.1,4.2,5.6
2.85,,22.8,26.1,17.2,10.3,26.1,,33.6,73.8,29.3,29.3,24.3,,20.3,18.1,13.6,9.4,18.2
